 	2q	Intensity
853	50.895	86.898
854	50.959	87.075
855	51.023	86.834
856	51.086	86.839
857	51.150	87.192
858	51.214	86.698
859	51.278	86.198
860	51.342	86.436
861	51.406	86.402
862	51.470	86.465
863	51.534	86.655
864	51.598	86.083
865	51.662	86.038
866	51.726	85.967
867	51.790	87.009
868	51.854	88.117
869	51.917	88.282
870	51.981	88.055
871	52.045	88.955
872	52.109	89.251
873	52.173	89.053
874	52.237	88.368
875	52.301	88.726
876	52.365	88.727
877	52.429	88.527
878	52.493	90.214
879	52.557	91.498
880	52.621	92.534
881	52.685	95.702
882	52.749	100.397
883	52.812	108.128
884	52.876	123.899
885	52.940	176.704
886	53.004	360.705
887	53.068	769.498
888	53.132	778.160
889	53.196	401.030
890	53.260	192.628
891	53.324	127.663
892	53.388	107.874
893	53.452	99.325
894	53.516	93.523
895	53.580	90.537
896	53.643	88.917
897	53.707	87.517
898	53.771	86.651
899	53.835	85.574
900	53.899	84.556
901	53.963	84.306
902	54.027	83.992
903	54.091	83.517
904	54.155	82.990
905	54.219	83.481
906	54.283	84.064
907	54.347	83.765
908	54.411	82.741
909	54.475	82.363
910	54.538	82.151
911	54.602	81.761
912	54.666	81.762
913	54.730	81.465
914	54.794	80.942
915	54.858	80.637
916	54.922	81.047
917	54.986	81.678
918	55.050	81.572
919	55.114	81.420
920	55.178	81.276
921	55.242	81.252
922	55.306	81.356
923	55.369	80.983
924	55.433	81.124
925	55.497	80.535
926	55.561	81.010
927	55.625	80.529
928	55.689	80.216
929	55.753	79.569
930	55.817	80.108
931	55.881	81.133
932	55.945	81.953
933	56.009	82.414
934	56.073	82.734
935	56.137	82.180
936	56.200	81.881
937	56.264	81.231
938	56.328	80.857
939	56.392	80.840
940	56.456	80.090
941	56.520	80.355
942	56.584	80.339
943	56.648	80.838
944	56.712	80.863
945	56.776	81.103
946	56.840	80.324
947	56.904	80.884
948	56.968	81.243
949	57.032	81.041
950	57.095	81.527
951	57.159	81.571
952	57.223	82.281
953	57.287	82.788
954	57.351	82.959
955	57.415	83.246
956	57.479	83.791
957	57.543	85.509
958	57.607	87.914
959	57.671	90.495
960	57.735	93.155
961	57.799	97.434
962	57.863	105.082
963	57.926	117.854
964	57.990	142.752
965	58.054	201.462
966	58.118	373.551
967	58.182	825.239
968	58.246	1408.550
969	58.310	1297.189
970	58.374	606.126
971	58.438	267.138
972	58.502	164.749
973	58.566	128.071
974	58.630	109.397
975	58.694	99.531
976	58.758	93.901
977	58.821	90.444
978	58.885	88.975
979	58.949	86.852
980	59.013	84.811
981	59.077	84.474
982	59.141	84.282
983	59.205	83.771
984	59.269	84.068
985	59.333	84.871
986	59.397	86.748
987	59.461	89.111
988	59.525	92.886
989	59.589	100.117
990	59.652	115.681
991	59.716	152.757
992	59.780	268.300
993	59.844	574.831
994	59.908	845.380
995	59.972	731.209
996	60.036	417.126
997	60.100	215.369
998	60.164	132.388
999	60.228	103.053
1000	60.292	91.597
1001	60.356	85.517
1002	60.420	81.677
1003	60.484	79.167
1004	60.547	77.233
1005	60.611	76.221
1006	60.675	74.195
1007	60.739	73.132
1008	60.803	72.454
1009	60.867	72.639
1010	60.931	71.012
1011	60.995	70.518
1012	61.059	70.061
1013	61.123	69.835
1014	61.187	69.231
1015	61.251	68.285
